Line Number,Location path code,selection,source,word,menu,menu_ff,full_pattern,menu_pattern,button,menu_title,is_menu,menu_multiplicity,multiplicity,Training/ Spontaneous,Utterance: Single word or phrase,Type of Sign,is_match,match_type
207,,BOOK,MENU,,BOOK,BOOK,DC,D,C,TO PLAY,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
208,,TOUCH AND FEEL,FINAL,Touch and Feel,,BOOK,DCB,DC,B,BOOK,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
209,,THEME,MENU,,THEME,THEME,DCG,DC,G,BOOK,true,1,1,Generalized,Single Word,Drawing,true,UNIQUE_MATCH
210,,SNUGGLE,FINAL,Snuggle,,THEME,DB,D,B,TO PLAY,false,,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
211,,TRACING,FINAL,Tracing,,THEME,,,,,,,,,,,false,
212,,BOOK,MENU,,BOOK,BOOK,DC,D,C,TO PLAY,true,1,1,Trained,Single Word,Drawing,true,UNIQUE_MATCH
213,,THEME,MENU,,THEME,THEME,DCG,DC,G,BOOK,true,1,1,Generalized,Single Word,Drawing,true,UNIQUE_MATCH
214,,ANIMALS,MENU,,ANIMALS,ANIMALS,AD,A,D,TALK ABOUT,true,1,1,Trained - Repeated,Single Word,Drawing,true,UNIQUE_MATCH
215,,FANTASY,MENU,,FANTASY,FANTASY,,,,,,,,,,,false,
216,,UNICORN,FINAL,Unicorn,,FANTASY,ACD,AC,D,FANTASY,false,,1,Trained - Repeated,Single Word,Drawing,true,UNIQUE_MATCH
217,,DRAGONS,FINAL,Dragons,,FANTASY,DCGBC,DCGB,C,FANTASY,false,,1,Trained - Repeated,Single Word,Drawing,true,UNIQUE_MATCH
218,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT,,,,,,,,,,,false,
219,,ANIMALS,MENU,,ANIMALS,ANIMALS,AD,A,D,TALK ABOUT,true,1,1,Trained - Repeated,Single Word,Drawing,true,UNIQUE_MATCH
220,,EASTER BABIES,FINAL,Easter Babies,,ANIMALS,ADB,AD,B,ANIMALS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
221,,EASTER BABIES,FINAL,Easter Babies,,ANIMALS,ADB,AD,B,ANIMALS,false,,1,Trained,Phrase,Photo,true,UNIQUE_MATCH
222,,TALK ABOUT,MENU,,TALK ABOUT,TALK ABOUT,,,,,,,,,,,false,
223,,FANTASY,MENU,,FANTASY,FANTASY,,,,,,,,,,,false,
224,,FAIRIES,FINAL,Fairies,,FANTASY,DCGBD,DCGB,D,FANTASY,false,,1,Trained - Repeated,Single Word,Drawing,true,UNIQUE_MATCH
225,,DRAGONS,FINAL,Dragons,,FANTASY,DCGBC,DCGB,C,FANTASY,false,,1,Trained - Repeated,Single Word,Drawing,true,UNIQUE_MATCH
226,,FAIRIES,FINAL,Fairies,,FANTASY,DCGBD,DCGB,D,FANTASY,false,,1,Trained - Repeated,Single Word,Drawing,true,UNIQUE_MATCH
