Line Number,Location path code,selection,source,word,menu,menu_ff
495,,EASTER,FINAL,Easter,,SEASONAL
496,,HALLOWEEN,FINAL,Halloween,,SEASONAL
500,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
501,,TOUCH,FINAL,Touch,,EXPERIENCE
502,,SEE,FINAL,See,,EXPERIENCE
503,,SMELL,FINAL,Smell,,EXPERIENCE
507,,BOOK,MENU,,BOOK,BOOK
508,,TOUCH AND FEEL,FINAL,Touch and Feel,,BOOK
509,,TOUCH AND FEEL,FINAL,Touch and Feel,,BOOK
510,,TO PLAY,MENU,,TO PLAY,TO PLAY
511,,SNUGGLE,FINAL,Snuggle,,TO PLAY
512,,PLAY OUTSIDE,FINAL,Play outside,,TO PLAY
513,,BOOK,MENU,,BOOK,BOOK
514,,READING BOOK,MENU,,READING BOOK,READING BOOK
515,,ONE WORD,FINAL,One word,,READING BOOK
516,,TRACING,FINAL,Tracing,,READING BOOK
517,,SNUGGLE,FINAL,Snuggle,,READING BOOK
520,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
521,,MOM,FINAL,Mom,,SAY HELLO TO
522,,CAR RIDE,FINAL,Car ride,,SAY HELLO TO
523,,CORI,FINAL,Cori,,SAY HELLO TO
524,,CAR RIDE,FINAL,Car ride,,SAY HELLO TO
525,,MOM,FINAL,Mom ,,SAY HELLO TO
526,,OUTSIDE WALK,FINAL,Outside walk,,SAY HELLO TO
527,,MOM,FINAL,Mom,,SAY HELLO TO
529,,SAY HELLO TO,MENU,,SAY HELLO TO,SAY HELLO TO
530,,SISTER,MENU,,SISTER,SISTER
531,,TILLIE,FINAL,Tillie,,SISTER
533,,EXPERIENCE,MENU,,EXPERIENCE,EXPERIENCE
534,,MOM,FINAL,Mom,,EXPERIENCE
535,,ISABELLE,FINAL,Isabelle,,EXPERIENCE
536,,ISABELLE,FINAL,Isabelle,,EXPERIENCE
538,,TASTE,FINAL,Taste,,EXPERIENCE
539,,TOUCH,FINAL,Touch,,EXPERIENCE
540,,MOM,FINAL,mom,,EXPERIENCE
541,,TOUCH,FINAL,Touch,,EXPERIENCE
542,,TILLIE,FINAL,Tillie,,EXPERIENCE
543,,TOUCH,FINAL,Touch,,EXPERIENCE
545,,ISABELLE,FINAL,Isabelle,,EXPERIENCE
546,,TO PLAY,MENU,,TO PLAY,TO PLAY
547,,SNUGGLE,FINAL,Snuggle,,TO PLAY
548,,BOOK,MENU,,BOOK,BOOK
550,,READING BOOK,FINAL,Reading Book,,BOOK
553,,TOUCH AND FEEL,FINAL,Touch and feel,,BOOK
555,,TO PLAY,MENU,,TO PLAY,TO PLAY
556,,SNUGGLE,FINAL,snuggle,,TO PLAY
557,,GAMES,MENU,,GAMES,GAMES
558,,NUMBER MATCH,FINAL,Number Match,,GAMES
559,,FEELING,MENU,,FEELING,FEELING
