row_number,selection,source,word,menu,menu_ff
457,SMELL,FINAL,Smell,,Experience
458,SMELL,FINAL,Smell,,Experience
459,TASTE,FINAL,Taste,,Experience
460,TASTE,FINAL,Taste,,Experience
461,TASTE,FINAL,Taste,,Experience
462,TOUCH,FINAL,Touch,,Experience
463,HEAR,FINAL,Hear,,Experience
464,TASTE,FINAL,Taste,,Experience
465,SEE,FINAL,See,,Experience
466,SMELL,FINAL,Smell,,Experience
467,TOUCH,FINAL,Touch,,Experience
468,TASTE,FINAL,Taste,,Experience
469,TASTE,FINAL,Taste,,Experience
470,HEAR,FINAL,Hear,,Experience
471,SMELL,FINAL,Smell,,Experience
472,SMELL,FINAL,Smell,,Experience
473,EXPERIENCE,MENU,,Experience,Experience
474,MOM,FINAL,Mom,,Experience
475,SMELL,FINAL,Smell,,Experience
476,MOM,FINAL,Mom,,Experience
477,SMELL,FINAL,Smell,,Experience
478,TOM AND JERRY,FINAL,Tom and Jerry,,Experience
479,TREATS,MENU,,Treats,Treats
480,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
481,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
482,MANGO,FINAL,Mango,,Treats
483,MUSIC,MENU,,Music,Music
484,VIOLIN,FINAL,Violin,,Music
485,GAMES,MENU,,Games,Games
486,BALLOON POP,FINAL,Balloon Pop,,Games
487,TALK ABOUT,MENU,,Talk about,Talk about
488,HOT,MENU,,Hot,Hot
489,HOT INSIDE,FINAL,Hot inside,,Hot
490,I FEEL HOT,FINAL,I feel hot,,Hot
491,I FEEL HOT,FINAL,I feel hot,,Hot
492,I FEEL HOT,FINAL,I feel hot,,Hot
493,I WANT TO FEEL HOT,FINAL,I want to feel hot,,Hot
494,I WANT TO FEEL HOT,FINAL,I want to feel hot,,Hot
495,HOT,MENU,,Hot,Hot
496,HOT INSIDE,FINAL,Hot inside,,Hot
497,I WANT TO FEEL HOT,FINAL,I want to feel hot,,Hot
498,SAY HELLO TO,MENU,,Say hello to,Say hello to
499,BIRD FRIENDS,MENU,,Bird friends,Bird friends
500,"SKITTLES, SQUEE, AND YAYA",FINAL,"Skittles, Squee, and Yaya",,Bird friends
501,FEELING,FINAL,Feeling,,Bird friends
502,FEELING,FINAL,Feeling,,Bird friends
503,FEELING,FINAL,Feeling,,Bird friends
504,SAY HELLO TO,MENU,,Say hello to,Say hello to
505,GRANDMA,FINAL,Grandma,,Say hello to
506,CORI,FINAL,Cori,,Say hello to
507,CAR RIDE,FINAL,Car ride,,Say hello to
508,CORI,FINAL,Cori,,Say hello to
509,BIRD FRIENDS,MENU,,Bird friends,Bird friends
510,OUTSIDE WALK,FINAL,Outside walk,,Bird friends
511,BIRD FRIENDS,MENU,,Bird friends,Bird friends
512,"SKITTLES, SQUEE AND YAYA",FINAL,"Skittles, Squee and Yaya",,Bird friends
513,MOM,FINAL,Mom,,Bird friends
514,MOM,FINAL,Mom,,Bird friends
515,CAR RIDE,FINAL,Car ride,,Bird friends
516,CAR RIDE,FINAL,Car ride,,Bird friends
517,TREATS,MENU,,Treats,Treats
518,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
519,NUTS,FINAL,Nuts,,Treats
520,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
521,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
522,TREATS,MENU,,Treats,Treats
523,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
524,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
525,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
526,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
527,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
528,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
529,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
530,SUNFLOWER SEEDS,FINAL,Sunflower seeds,,Treats
531,SAY HELLO TO,MENU,,Say hello to,Say hello to
532,TO EAT,MENU,,To eat,To eat
533,A TOAST,FINAL,A toast,,To eat
534,A TOAST,FINAL,A toast,,To eat
535,A TOAST,FINAL,A toast,,To eat
536,TALK ABOUT,MENU,,Talk about,Talk about
537,TEMP AND WEATHER,FINAL,Temp and weather,,Talk about
