Line Number,full_pattern,menu_pattern,button,selection,menu_title,is_menu,menu_multiplicity,multiplicity
364,BK,B,K,RIVER AVIARY,PLACES,false,,1
365,BL,B,L,TEA ROOM AVIARY,PLACES,false,,1
366,BM,B,M,MOM,PLACES,false,,13
367,BN,B,N,ELLIE,PLACES,false,,10
368,BO,B,O,ISABELLE,PLACES,false,,10
369,BP,B,P,TILLIE,PLACES,false,,10
370,BQ,B,Q,LIKE,PLACES,false,,31
371,BR,B,R,NO LIKE,PLACES,false,,31
372,C,"",C,EXPERIENCE,MAIN MENU,true,1,1
373,CA,C,A,BACK,EXPERIENCE,false,,84
374,CB,C,B,MOM,EXPERIENCE,false,,13
375,CC,C,C,"",EXPERIENCE,false,,17
376,CD,C,D,TOUCH,EXPERIENCE,false,,1
377,CE,C,E,SEE,EXPERIENCE,false,,1
378,CF,C,F,HEAR,EXPERIENCE,false,,1
379,CG,C,G,ELLIE,EXPERIENCE,false,,10
380,CH,C,H,TILLIE,EXPERIENCE,false,,10
381,CI,C,I,ISABELLE,EXPERIENCE,false,,10
382,CJ,C,J,READ,EXPERIENCE,false,,1
383,CK,C,K,TASTE,EXPERIENCE,false,,1
384,CL,C,L,SMELL,EXPERIENCE,false,,1
385,CM,C,M,LOVE,EXPERIENCE,false,,1
386,CN,C,N,HAPPY,EXPERIENCE,false,,3
387,CO,C,O,EXCITED,EXPERIENCE,false,,2
388,CP,C,P,SAD,EXPERIENCE,false,,2
389,CQ,C,Q,LIKE,EXPERIENCE,false,,31
390,CR,C,R,NO LIKE,EXPERIENCE,false,,31
391,D,"",D,TO PLAY,MAIN MENU,true,1,1
392,DA,D,A,BACK,TO PLAY,false,,84
393,DB,D,B,SNUGGLE,TO PLAY,false,,2
394,DC,D,C,TRACING AND WRITING,TO PLAY,true,1,1
395,DCA,DC,A,BACK,TRACING AND WRITING,false,,84
396,DCB,DC,B,TRACING,TRACING AND WRITING,false,,1
397,DCC,DC,C,"",TRACING AND WRITING,false,,17
398,DCD,DC,D,FREE WRITING PRACTICE,TRACING AND WRITING,false,,1
399,DCE,DC,E,LETTER PRACTICE,TRACING AND WRITING,false,,1
400,DCF,DC,F,DRAW WHAT I SEE,TRACING AND WRITING,false,,1
401,DCG,DC,G,KINDERGARTEN LINES,TRACING AND WRITING,false,,1
402,DCH,DC,H,WRITE WORDS,TRACING AND WRITING,false,,1
403,DCI,DC,I,SPELLING,TRACING AND WRITING,false,,1
404,DD,D,D,"",TO PLAY,false,,17
405,DE,D,E,BOOK,TO PLAY,true,1,1
406,DEA,DE,A,BACK,BOOK,false,,84
407,DEB,DE,B,TOUCH AND FEEL,BOOK,false,,1
408,DEC,DE,C,POP-UP,BOOK,false,,1
409,DED,DE,D,READING BOOK,BOOK,true,1,1
410,DEDA,DED,A,BACK,READING BOOK,false,,84
411,DEDB,DED,B,ONE WORD,READING BOOK,false,,1
412,DEDC,DED,C,SENTENCE BOOK,READING BOOK,false,,1
413,DEE,DE,E,,BOOK,false,,59
414,DEF,DE,F,THEME,BOOK,true,1,1
415,DEFA,DEF,A,BACK,THEME,false,,84
416,DEFB,DEF,B,FANTASY,THEME,true,3,3
417,DEFBA,DEFB,A,BACK,FANTASY,false,,84
418,DEFBB,DEFB,B,,FANTASY,false,,59
419,DEFBC,DEFB,C,UNICORN,FANTASY,false,,3
420,DEFBD,DEFB,D,DRAGON,FANTASY,false,,3
421,DEFBE,DEFB,E,FAIRY,FANTASY,false,,3
422,DEFBF,DEFB,F,MERMAID,FANTASY,false,,3
423,DEFBG,DEFB,G,ELF,FANTASY,false,,3
424,DEFBH,DEFB,H,GNOME,FANTASY,false,,3
425,DEFC,DEF,C,ANIMALS,THEME,true,3,3
426,DEFCA,DEFC,A,BACK,ANIMALS,false,,84
427,DEFCB,DEFC,B,BABY ANIMALS,ANIMALS,false,,3
428,DEFCC,DEFC,C,,ANIMALS,false,,59
429,DEFCD,DEFC,D,JUNGLE ANIMALS,ANIMALS,false,,2
430,DEFCE,DEFC,E,UNDERWATER ANIMALS,ANIMALS,false,,2
