Line Number,Location path code,selection,source,word,menu,menu_ff
2957,,ALEXA PLAY GEORGE WINSTON,FINAL,Alexa play George Winston,,ENTERTAINMENT
2958,,ALEXA PLAY GEORGE WINSTON,FINAL,Alexa play George Winston,,ENTERTAINMENT
2959,,ALEXA PLAY GEORGE WINSTON,FINAL,Alexa play George Winston,,ENTERTAINMENT
2960,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
2961,,TEMPERATURE,FINAL,Temperature,,ABOUT ME
2962,,WARM,FINAL,Warm,,ABOUT ME
2963,,I WANT TO FEEL WARM,FINAL,I want to feel warm,,ABOUT ME
2964,,LIKE,FINAL,Like,,ABOUT ME
2965,,TALK ABOUT,FINAL,Talk about,,ABOUT ME
2966,,TALK ABOUT,FINAL,Talk about,,ABOUT ME
2967,,LIKE,FINAL,Like,,ABOUT ME
2968,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
2969,,BODY,MENU,,BODY,BODY
2970,,TODAY,FINAL,Today,,BODY
2971,,I FEEL GOOD,FINAL,I feel good,,BODY
2972,,I FEEL GOOD,FINAL,I feel good,,BODY
2973,,LIKE,FINAL,Like,,BODY
2974,,TODAY,FINAL,Today,,BODY
2975,,I FEEL GOOD,FINAL,I feel good,,BODY
2976,,OUCH,FINAL,Ouch,,BODY
2977,,TYPES OF OUCH,MENU,,TYPES OF OUCH,TYPES OF OUCH
2978,,I FELT OUCH,FINAL,I felt ouch,,TYPES OF OUCH
2979,,I FELT OUCH,FINAL,I felt ouch,,TYPES OF OUCH
2980,,OUTSIDE OUCH,FINAL,Outside ouch,,TYPES OF OUCH
2981,,OUTSIDE OUCH,FINAL,Outside ouch,,TYPES OF OUCH
2982,,ABOUT ME,MENU,,ABOUT ME,ABOUT ME
2983,,BODY,FINAL,Body,,ABOUT ME
2984,,OUCH,FINAL,Ouch,,ABOUT ME
2985,,I FEEL GOOD,FINAL,I feel good,,ABOUT ME
2986,,NO LIKE,FINAL,No like,,ABOUT ME
2987,,LIKE,FINAL,Like,,ABOUT ME
2988,,I FEEL GOOD,FINAL,I feel good,,ABOUT ME
2989,,OUCH,FINAL,Ouch,,ABOUT ME
2990,,I FEEL GOOD,FINAL,I feel good,,ABOUT ME
2991,,I FEEL GOOD,FINAL,I feel good,,ABOUT ME
