,Line Number,Location path code,L1,L2,L3,L4,L5,Category,Training/ Spontaneous,How Discovered?,Utterance: Single word or phrase,Type of Sign,Type of Sign 2,,,,,absolute X,absolute Y,relative X,relative Y,Notes,# boxes on screen,"Cori's double check - yellow are different, white are still the same"
146,146,ADA,A        Talk about,AD  Animals,ADA      Back,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-1,0,,8,2
147,147,AJA,A        Talk about,AJ Yes and No,AJA Back,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-2,0,,5,5
148,148,BA,B        Say hello to,BA   Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,11,11
149,149,BC,B        Say hello to,BC   Mom,,,,Family & Friends,Untrained - Discovered,,Single Word,Photo,Iconic,,,,,-1,1,-1,1,,11,11
150,150,BHA,B        Say hello to,BH Bird Friends,BHA Back,,,Navigation,Trained - Repeated,,Single Word,Photo,Not-Iconic,,,,,-3,1,-2,0,,,4
151,151,BI,B        Say hello to,BI     Outside Walk,,,,Space-Temporal,Trained - Repeated,,Phrase,Photo,Iconic,,,,,-2,-1,-1,-1,,11,11
152,152,BJA,B        Say hello to,BJ     Sisters,BJA Back,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-2,0,,4,4
153,153,BJB,B        Say hello to,BJ     Sisters,BJB Ellie,,,Family & Friends,Trained - Repeated,,Single Word,Photo,Iconic,,,,,-2,1,-1,0,,4,4
154,154,BJC,B        Say hello to,BJ     Sisters,BJC Isabelle,,,Family & Friends,Trained - Repeated,,Single Word,Photo,Iconic,,,,,-1,1,1,0,,4,4
155,155,BJD,B        Say hello to,BJ     Sisters,BJD Tillie,,,Family & Friends,Trained - Repeated,,Single Word,Photo,Iconic,,,,,1,1,2,0,,4,4
156,156,BK,B        Say hello to,BK   Talk About,,,,Navigation,Trained - Repeated,,Phrase,Abstract Sign,Not-Iconic,,,,,2,-1,2,-1,,12,11
157,157,BKA,B        Say hello to,BK   Talk About,BKA       Back,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-2,0,,4,4
158,158,BKB,B        Say hello to,BK   Talk About,BKB       Feeling,,,Self/State,Trained - Repeated,,Single Word,Drawing,Not-Iconic,,,,,-2,1,-1,0,,4,4
159,159,BKC,B        Say hello to,BK   Talk About,BKC       Temp and Weather,,,Self/State,Trained - Repeated,,Phrase,Photo,Not-Iconic,,,,,-1,1,1,0,,4,4
160,160,CA,C         Experience,CA   Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,12,12
161,161,CB,C         Experience,CB   Mom,,,,Family & Friends,Untrained - Discovered,,Single Word,Photo,Iconic,,,,,-2,1,-2,1,,12,12
162,162,CG,C         Experience,CG  Ellie,,,,Family & Friends,Trained - Repeated,,Single Word,Photo,Iconic,,,,,-3,-1,-3,-1,,12,12
163,163,CH,C         Experience,CH   Tillie,,,,Family & Friends,Trained - Repeated,,Single Word,Photo,Iconic,,,,,-2,-1,-2,-1,,12,12
164,164,CI,C         Experience,CI     Isabelle,,,,Family & Friends,Trained - Repeated,,Single Word,Photo,Iconic,,,,,-1,-1,-1,-1,,12,12
165,165,DA,D        To play,DA  Back,,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,,12,12
166,166,DCA,D        To play,DC   Book,DCA Back,,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,,,,,-3,1,-3,1,prev y=0,6,7
167,167,DCEA,D        To play,DC   Book,DCE Reading Book,DCEA Back,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,Not-Iconic,DCEA Back,,,,-3,1,-1,0,,3,3
168,168,DCF,D        To play,DC   Book,DCF Seasonal,,,Navigation,Trained - Repeated,,Single Word,Photo,,,,,,3,1,3,1,prev y=0,6,7
169,169,DCFA,D        To play,DC   Book,DCF Seasonal,DCFA Back,,Navigation,Trained - Repeated,,Single Word,Abstract Sign,,,,,,-3,1,-2,0,,4,4
